sourceNumber,sourceRow,categoryId,category,name,water,energy,protein,fats,fiber,carbohydrates,sodium,potassium,calcium,phosphorus,magnesium,iron,zinc,copper,vitaminA,vitaminC,vitaminB1,vitaminB2
23,183,c06,VEGETABLES,Dill,88.9,36,2.9,0.5,1.2,5,60,305,150,41,20,2.1,3.6,0.07,300,34,0.12,0.38
26,184,c06,VEGETABLES,"Eggplant,black or white",91.3,28,1.7,0.2,1.2,4.9,7,272,15,25,13,0.5,0.33,0.07,8,6,0.04,0.03
27,185,c06,VEGETABLES,"Eggplant,round",91,27,1.8,0.1,1.4,4.8,8,270,17,24,12,0.38,0.36,0.07,6,8,0.03,0.05
28,186,c06,VEGETABLES,"Eggplant,cooked",87,73,1.6,5.3,0.8,4.7,396,229,13,20,0,0.34,0.25,0,0,0,0,0
29,187,c06,VEGETABLES,"Eggplant,cooked with meat",85,84,3.6,6,0.7,4,364,264,21,33,0,0.72,0.5,0,0,0,0,0
30,188,c06,VEGETABLES,"Eggplant,fired",75.1,175,1.5,17,1,3.9,409,257,15,22,0,0.33,0.29,0,0,0,0,0
31,189,c06,VEGETABLES,"Eggplant,rice stuff",71,126,3,4,1,19.5,390,238,19,0,0,0.77,0.52,0,0,0,0,0
32,190,c06,VEGETABLES,Fennel,88.6,37,2.6,0.5,1.5,5.4,52,226,52,48,26,1.34,0.15,0.08,0,28,0,0
33,191,c06,VEGETABLES,"Fenugreek,leaves",86.6,45,3.5,0.5,1.4,6.5,68,260,135,47,12,6.4,4.5,0.07,700,60,0.12,0.25
34,192,c06,VEGETABLES,Garden rocket,89.9,32,2.5,0.5,1,4.4,33,257,127,40,13,8.3,0.8,0.3,364,125,0.14,0.21
35,193,c06,VEGETABLES,"Garlic,bulb",62.3,142,5.6,0.3,1.2,29.1,22,515,34,168,30,1.6,0.72,0.22,0,5,0.22,0.07
36,194,c06,VEGETABLES,Grape leaves,76.4,80,4,0.6,2.3,14.7,55,370,394,45,15,2.2,0.3,0.05,1287,90,0.25,0.1
37,195,c06,VEGETABLES,"Grape leaves,pickled",75.4,71,7.3,0.6,3,9.1,894,0,385,0,0,2,0.3,0,0,13,0,0
38,196,c06,VEGETABLES,"Grape leaves,rice stuff",69.4,131,4,4.2,1.5,19.4,385,205,96,52,14,2.5,0.3,0.13,0,0,0,0
39,197,c06,VEGETABLES,Jew s mallow,83.9,54,5,1,1.5,6.3,42,380,270,61,17,4.2,0.4,0.04,1150,80,0.5,0.32
40,198,c06,VEGETABLES,"Jew s mallow,cooked",81,91,3.5,6,1.5,5.7,300,250,200,74,0,1.4,0.13,0,0,0,0,0
41,199,c06,VEGETABLES,"Leeks,bulb",93.9,18,1.8,0.3,0.9,2,18,270,87,35,15,1.2,0.4,0.03,8,19,0.04,0.11
42,200,c06,VEGETABLES,"Lettuce,Ice-burg",95.5,15,0.9,0.2,0.5,2.3,9,213,12,29,3,1.1,0.15,0.09,12,8,0.06,0.06
43,201,c06,VEGETABLES,"Lettuce,leaves",95,16,1.1,0.3,0.7,2.1,7,125,28,22,10,1,0.15,0.08,181,10,0.05,0.07
44,202,c06,VEGETABLES,"Lettuce,rice stuff",72,124,3.1,4,1,18.8,320,185,20,0,0,0.7,0.3,0,0,0,0,0
45,203,c06,VEGETABLES,"Lettuce,rice/meat stuff",70,147,5,7,0.9,16,308,188,27,67,0,6.9,0.62,0,0,0,0,0
46,204,c06,VEGETABLES,Mallow,83.3,55,5,0.6,1.3,7.5,48,296,258,77,16,4.5,3.6,0.12,1272,34,0.12,0.16
47,205,c06,VEGETABLES,"Mallow,cooked",80,99,3,5.6,0.9,9.1,352,154,98,65,0,2.7,1.64,0,0,0,0,0
48,206,c06,VEGETABLES,Mint,84.6,52,3.7,1.2,2.8,6.5,2,160,160,74,16,1.2,0.4,0.14,394,26,0.09,0.22
49,207,c06,VEGETABLES,Mushrooms,90.8,31,2.5,0.1,0.5,5.1,10,346,6,120,11,0.6,0.72,0.65,0,2,0.1,0.4
50,208,c06,VEGETABLES,"Mushrooms,canned",91.6,27,3.2,0.1,0.5,3.4,491,228,20,56,16,0.45,0.52,0.46,0,0,0.02,0.25
51,209,c06,VEGETABLES,Okra,86.5,47,2,0.2,1,9.3,11,210,98,74,25,1.9,0.58,0.16,13,20,0.1,0.12
52,210,c06,VEGETABLES,"Okra,cooked",85,72,2.8,3.6,0.7,7.2,375,213,59,50,0,1.23,0.38,0,0,0,0,0
53,211,c06,VEGETABLES,"Okra,cooked with meat",82.9,89,5.1,5,0.6,5.8,386,246,42,40,0,1.58,0.49,0,0,0,0,0
54,212,c06,VEGETABLES,"Olives,black pickled",69.5,158,1.5,12,1,10.9,905,137,158,0,0,1.5,0,0,30,0,0,0
55,213,c06,VEGETABLES,"Olives,green pickled",82.7,88,1,8,1,2.9,899,150,105,0,0,1.4,0,0,23,0,0,0
56,214,c06,VEGETABLES,"Onions,green",86.6,49,1.1,0.2,0.9,10.7,10,224,125,50,8,1.05,0.07,0.1,60,18,0.04,0.05
57,215,c06,VEGETABLES,"Onions,mature bulb",83.9,60,1.2,0.2,0.7,13.3,13,139,35,56,12,0.5,0.1,0.15,9,7,0.03,0.04
58,216,c06,VEGETABLES,"Onions,pickled",82.5,53,0.5,0.2,1.4,12.2,840,66,30,0,0,0.1,0,0,0,0,0,0
59,217,c06,VEGETABLES,Parsley,81.6,50,3.3,0.4,1.3,8.2,30,723,210,54,39,6.55,1.85,0.18,1272,156,0.12,0.32
60,218,c06,VEGETABLES,Peas,75.3,89,6.2,0.4,2.1,15.1,3,286,20,122,19,1.7,1.26,0.03,55,25,0.32,0.18
61,219,c06,VEGETABLES,"Peas/carrot,cooked",86,62,4.1,3,1.2,4.7,415,260,17,61,0,1.1,1,0,0,0,0,0
62,220,c06,VEGETABLES,"Peppers,green",92.2,24,1.3,0.3,1.5,4.1,25,195,15,25,14,0.9,0.3,0.1,30,110,0.06,0.04
63,221,c06,VEGETABLES,"Peppera,orange/red/yellow",90,34,1.2,0.3,1.2,6.6,40,62,5,0,3,0.95,0.21,0,0,82,0,0
64,222,c06,VEGETABLES,Pumpkin,91.8,26,1,0.1,1.1,5.2,2,310,25,33,15,0.7,0.24,0.02,330,7,0.04,0.06
65,223,c06,VEGETABLES,Purslane,90.5,31,2,0.5,1,4.5,30,610,95,28,6,3.2,0.1,0,606,65,0.14,0.13
66,224,c06,VEGETABLES,"Radishes,red",94,19,1.2,0.1,0.8,3.2,21,246,27,33,17,0.99,0.33,0.15,0,24,0.03,0.04
67,225,c06,VEGETABLES,"Radishes,white",91.6,27,1.4,0.1,1,5,18,292,56,27,12,0.8,0.17,0.11,0,30,0.02,0.04
68,226,c06,VEGETABLES,"Radished,white root/leaves",91,26,2,0.4,1.1,3.7,20,320,213,0,0,1.8,0.3,0,0,35,0,0
69,227,c06,VEGETABLES,Spinach,92.4,22,2.5,0.3,0.7,2.4,58,540,92,47,54,4.2,0.4,0.19,1058,32,0.11,0.19
70,228,c06,VEGETABLES,"Spinach,cooked",88.6,57,2,3.9,1,3.4,405,323,55,28,0,2.91,0.28,0,0,0,0,0
71,229,c06,VEGETABLES,"Spinach,cooked with meat",86,75,4,5.2,0.7,3.1,394,375,63,34,0,3.2,0.24,0,0,0,0,0
72,230,c06,VEGETABLES,Squash,92.8,24,1.3,0.2,0.8,4.2,6,200,25,31,12,0.5,0.19,0.05,12,12,0.04,0.09
73,231,c06,VEGETABLES,"Squaslr,cooked",89.6,55,1.9,3.4,0.3,4.3,389,212,20,29,0,0.43,0.18,0,0,0,0,0
74,232,c06,VEGETABLES,"Squash,cooked with meat",88.1,67,3.4,4.6,0.5,2.9,350,204,18,22,0,0.8,0.2,0,0,0,0,0
75,233,c06,VEGETABLES,"Squash,rice stuff",75.5,103,2.1,2.7,1,17.6,440,245,13,76,0,0.7,0.5,0,0,0,0,0
76,234,c06,VEGETABLES,"Squash,rice/meat stuff",75,112,3,4,0.9,16,404,222,12,75,0,0.8,0.52,0,0,0,0,0
77,235,c06,VEGETABLES,Tomatoes,94.3,20,1.1,0.3,0.6,3.1,10,328,15,30,12,0.5,0.2,0.12,95,21,0.05,0.05
78,236,c06,VEGETABLES,Tomatoes/Ketchup,66.7,126,1.6,0.6,0.3,28.6,7.13,587,20,40,22,1.2,0.3,0.4,0,13,0.07,0.04
79,237,c06,VEGETABLES,"Tomato,paste",78,78,3.8,0.4,0.5,14.8,807,514,25,83,28,3.1,0.51,0.2,285,15,0.19,0.11
80,238,c06,VEGETABLES,"Turnipa,roots",91.8,27,1.2,0.2,0.7,5.2,48,270,36,33,10,0.5,0.15,0.05,0,30,0.04,0.04
81,239,c06,VEGETABLES,"Vegetables,pickled",89,16,1.1,0,0.4,3,956,258,150,0,0,0.9,0.09,0,0,6,0.03,0.03
1,242,c07,FEUITS,Apples,84.5,57,0.4,0.2,0.8,13.5,5,125,5,12,6,0.3,0.08,0.07,5,7,0.05,0.03
2,243,c07,FEUITS,Apricots,84.6,58,0.9,0.4,0.7,12.7,3,304,15,25,11,0.5,0.2,0.1,265,12,0.04,0.06
3,244,c07,FEUITS,"Apricots,dried",24,282,4.5,0.6,3.2,64.6,18,1615,86,120,40,5,0.63,0.3,590,2,0.01,0.18
4,245,c07,FEUITS,Avocado,73,165,2.2,14,1.5,7.5,3,594,15,0,0,1.05,0.9,0,0,12,0.12,0.19
5,246,c07,FEUITS,Bananas,75.2,95,1.3,0.3,0.6,21.7,3,350,10,25,30,0.6,0.21,0.18,28,8,0.04,0.05
6,247,c07,FEUITS,Cantaloupe,90.8,33,0.8,0.1,0.4,7.3,18,280,15,18,20,0.5,0.15,0.05,219,23,0.05,0.04
7,248,c07,FEUITS,Custard-apple,76.5,85,2.9,0.5,1.4,17.3,25,436,20,38,44,0.77,0.9,0.2,0,27,0.1,0.06
8,249,c07,FEUITS,Dafes,70,115,0.9,0.2,0.9,27.3,2,300,22,26,18,1.1,0.13,0.12,4,11,0.05,0.06
9,250,c07,FEUITS,"Dates,dried (Agwa)",18,315,2.3,0.5,2.2,75.3,3,690,62,61,44,3.2,0.4,0.3,10,0,0.08,0.1
10,251,c07,FEUITS,Figs,80.4,72,1.3,0.4,1.5,15.8,4,180,62,28,25,1.05,0.22,0.05,27,4,0.07,0.06
11,252,c07,FEUITS,"Fifs,dried",20.3,293,4.1,1.1,5.7,66.6,13,901,130,80,65,3.53,0.9,0.23,0,0,0.12,0.11
12,253,c07,FEUITS,Grapefruits,88.7,43,0.6,0.1,0.4,9.8,5,140,15,18,12,0.2,0.12,0.03,2,35,0.03,0.02
13,254,c07,FEUITS,"Grapes,seedless",80.4,77,0.6,0.6,0.7,17.2,5,242,17,22,9,0.36,0.09,0.12,3,5,0.07,0.03
14,255,c07,FEUITS,Guavas,81.2,62,0.8,0.5,3.4,13.5,8,255,23,44,25,0.8,0.46,0.12,20,227,0.05,0.05
15,256,c07,FEUITS,Husk tomatoes,79.9,75,2.7,0.3,1,15.3,15,146,27,42,0,0.47,0.52,0,7,13,0.09,0.08
16,257,c07,FEUITS,Jujuba,76,89,1.4,0.2,1.4,20.3,5,280,34,27,0,0.8,0,0,0,65,0,0
17,258,c07,FEUITS,Kiwifruit,85,54,1.9,0.6,1.6,10.2,3,210,30,0,0,0.3,0.1,0,0,95,0.01,0.02
18,259,c07,FEUITS,Lemons,91.3,32,0.8,0.2,0.6,6.7,4,165,32,14,12,0.5,0.15,0.22,4,75,0.05,0.03
19,260,c07,FEUITS,Lemons sweet,90.6,37,0.6,0.5,0.4,7.6,6,140,29,20,11,0.35,0.24,0.23,4,36,0.03,0.02
20,261,c07,FEUITS,Lime,91.1,33,0.6,0.3,0.7,6.9,5,160,27,22,15,0.4,0.12,0.21,0,50,0.04,0.01
21,262,c07,FEUITS,Loquate,87,51,0.3,0.6,0.7,11,12,238,15,25,0,0.43,0,0,250,5,0,0
22,263,c07,FEUITS,Mandarin,86.9,48,0.7,0.2,0.9,10.8,7,147,39,22,16,0.5,0.4,0.04,13,26,0.09,0.03
23,264,c07,FEUITS,Mangos,81.8,68,0.8,0.3,1.1,15.5,10,200,15,17,8,0.5,0.18,0.11,250,30,0.04,0.04
24,265,c07,FEUITS,Melons,91.5,30,0.8,0.2,0.6,6.3,8,270,10,14,8,0.4,0.2,0.12,18,22,0.05,0.03
25,266,c07,FEUITS,Mulbercy,79.6,76,1.6,0.5,1.2,16.3,25,236,55,35,17,1.8,1.3,0.06,3,10,0.05,0.07
26,267,c07,FEUITS,Oranges,85.5,56,1.1,0.3,0.6,12.1,3,181,37,28,7,0.3,0.2,0.07,8,55,0.08,0.04
27,268,c07,FEUITS,Papaya,88,44,0.6,0.2,0.6,10,5,237,25,18,22,0.57,0.3,0,124,59,0.03,0.03
28,269,c07,FEUITS,Peaches,86.2,51,0.7,0.2,0.7,11.7,3,280,15,22,11,0.8,0.2,0.04,43,12,0.02,0.04
29,270,c07,FEUITS,Pears,83.8,58,0.3,0.2,1.3,13.7,5,144,10,12,10,0.4,0.14,0.12,2,2,0.03,0.05
30,271,c07,FEUITS,Persimmon,77,85,0.9,0.5,1,19.3,4,179,12,22,10,0.4,0.14,0.11,157,12,0.05,0.03
31,272,c07,FEUITS,Pineapple,85.7,55,0.5,0.2,0.5,12.7,3,219,15,12,16,0.55,0.22,0.06,8,15,0.1,0.05
32,273,c07,FEUITS,plums,86.8,50,0.7,0.2,0.6,11.3,2,260,19,21,11,0.6,0.05,0.08,71,5,0.04,0.03
33,274,c07,FEUITS,pomegranate,80.7,68,0.7,0.4,2.1,15.5,5,280,15,30,8,0.3,0.14,0.07,2,16,0.08,0.06
34,275,c07,FEUITS,prickly pears,86.5,31,1,0.9,6.5,4.8,5,150,50,35,18,1.4,0.72,0.24,13,18,0.03,0.04
35,276,c07,FEUITS,"prunes,dried",22.5,299,2.3,0.5,2.5,71.2,12,850,41,61,0,2.2,0.5,0,145,2,0.12,0.25
36,277,c07,FEUITS,Raisins,17,320,2.4,0.3,1.6,76.9,30,740,63,90,34,1.64,0.16,0.18,0,0,0.12,0.09
37,278,c07,FEUITS,Raspberries,83.5,60,1.3,0.5,1.5,12.5,2,155,30,27,25,1.2,0.35,0.11,0,22,0.04,0.07
38,279,c07,FEUITS,Strawberries,90.3,34,0.8,0.4,1.2,6.7,2,185,26,24,15,0.9,0.1,0.11,6,40,0.04,0.05
39,280,c07,FEUITS,Sycamore,82,66,0.9,0.3,0.5,15,9,183,19,0,0,1.7,0,0,0,13,0.03,0.09
40,281,c07,FEUITS,Watermelons,92.8,26,0.4,0.1,0.4,5.9,2,90,6,11,7,0.4,0.4,0.06,6,5,0.03,0.04
1,284,c08,Sweets and Confectionary,"Candy, Assalia",2.5,387,1.6,0.7,0,93.6,30,0,26,0,0,7.2,0.63,0,0,0,0.2,0.04
2,285,c08,Sweets and Confectionary,"Candy, fruit flavor ( hard)",1.5,392,0,0,0,98,75,10,0,0,0,0,0,0,0,0,0,0
3,286,c08,Sweets and Confectionary,"Candy, Folia",2.3,444,7.8,12,0.9,76.1,77,0,19,0,0,0.75,0.74,0,20,0,0,0
4,287,c08,Sweets and Confectionary,"Candy, homosia",3.5,387,6.5,1.7,0.9,86.5,27,405,77,215,0,2.3,1.7,0,9,0,0.24,0.1
5,288,c08,Sweets and Confectionary,"Candy , jelly beans",12,353,2.6,0.3,0,84.9,46,0,0,0,0,0,0,0,0,0,0,0
6,289,c08,Sweets and Confectionary,"Candy, Koozassal",2.3,387,2.4,0.5,0,93.3,33,0,41,0,0,9.2,0.87,0,0,0,0,0
7,290,c08,Sweets and Confectionary,"Candy, Malban",5,382,0.8,0.5,0,93.5,40,0,9,0,0,0.05,0,0,0,0,0,0
8,291,c08,Sweets and Confectionary,"Candy, Nogha with nuts",3.7,397,7.7,3.3,0,84.2,66,0,90,0,0,1.6,1.5,0,0,0,0,0
9,292,c08,Sweets and Confectionary,"Candy, semsemia",1.9,443,6,12,1.3,77.7,16,0,177,0,0,2.8,2.1,0,5,0,0,0
10,293,c08,Sweets and Confectionary,"Candy, Toffee",5,392,4,4,0,85,178,122,105,0,0,0.3,0.2,0,0,0,0,0
11,294,c08,Sweets and Confectionary,Chewing gum,0,320,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
12,295,c08,Sweets and Confectionary,"Chocolate, milk",2.5,513,8,27,1,59.5,142,373,170,202,45,1.4,0.2,0,0,0,0.06,0.21
13,296,c08,Sweets and Confectionary,"Chocolate, coconuts",5.3,469,4,20,1.3,68.2,155,300,73,130,40,1.2,0.3,0,0,0,0.04,0.1
14,297,c08,Sweets and Confectionary,"Chocolate, nuts",2.1,530,9.3,30,1.1,55.6,103,310,132,234,12,1.6,0.6,0,0,0,0.09,0.4
15,298,c08,Sweets and Confectionary,Corn syrup,20.5,317,0,0,0,79.3,20,3,8,16,0,0,0,0,0,0,0,0
16,299,c08,Sweets and Confectionary,Halawa Tahinia,2.1,520,11.2,27.5,1.2,57,22,95,42,386,20,3,2.2,0.4,0,0,0.42,0.12
17,300,c08,Sweets and Confectionary,Halawa Tahinia with nuts,1.8,519,12.1,28,2,54.6,48,0,76,0,0,3.2,0,0,0,0,0,0
18,301,c08,Sweets and Confectionary,Honey,17.4,329,0.3,0,0,82,6,50,11,10,4,6,0.08,0.04,0,3,0.02,0.05
19,302,c08,Sweets and Confectionary,Jam,28.8,283,0.7,0.1,0.3,69.7,14,95,16,10,9,1.2,0.03,0.2,0,9,0.02,0.04
20,303,c08,Sweets and Confectionary,Jelly Powder,1.8,390,10,0,0,87.4,325,0,0,0,0,0,0,0,0,0,0,0
21,304,c08,Sweets and Confectionary,Molasses,26,280,0,0,0,70,88,1400,29,0,0,5.71,0.68,1.8,0,0,0.07,0.13
22,305,c08,Sweets and Confectionary,Oriental Baklava,15,450,4.8,23,0.5,56,0,0,0,0,0,0,0,0,0,0,0,0
23,306,c08,Sweets and Confectionary,Oriental Baklava ( assorted),8.2,531,6.3,34.3,0.9,49.3,0,0,0,0,0,0,0,0,0,0,0,0
24,307,c08,Sweets and Confectionary,Oriental Balah El-sham,10,420,5.3,12.7,0.4,71.2,0,0,0,0,0,0,0,0,0,0,0,0
25,308,c08,Sweets and Confectionary,Oriental Basbusa,17.5,355,4.9,6,0.7,70.3,0,0,0,0,0,0,0,0,0,0,0,0
26,309,c08,Sweets and Confectionary,"Oriental Basbusa, nuts",15,375,5.4,8,0.8,70.3,0,0,0,0,0,0,0,0,0,0,0,0
27,310,c08,Sweets and Confectionary,Oriental Eish Saraya ( cream),7.7,426,2.5,12.5,0.5,75.9,0,0,0,0,0,0,0,0,0,0,0,0
28,311,c08,Sweets and Confectionary,Oriental Gohraiba,4.3,533,5.5,31,0.7,58,0,0,0,0,0,0,0,0,0,0,0,0
29,312,c08,Sweets and Confectionary,Oriental Kaak Eid,3.9,518,7,27.6,0.5,60.5,0,0,0,0,0,0,0,0,0,0,0,0
30,313,c08,Sweets and Confectionary,Oriental Kataif,28,348,5,12.8,0.6,53.1,0,0,0,0,0,0,0,0,0,0,0,0
31,314,c08,Sweets and Confectionary,Oriental Kunafa Cream,27.2,361,3,14.5,0.5,54.5,0,0,0,0,0,0,0,0,0,0,0,0
32,315,c08,Sweets and Confectionary,"Oriental Kunafa, nuts",6.6,487,5.8,23.7,0.8,62.5,0,0,0,0,0,0,0,0,0,0,0,0
33,316,c08,Sweets and Confectionary,Oriental Lukmet El-Kady,11.9,396,3.9,9.5,0.5,73.7,0,0,0,0,0,0,0,0,0,0,0,0
34,317,c08,Sweets and Confectionary,Oriental Maamoul,3.3,500,0.6,24.3,1,64.3,171,0,76,0,0,0,0,0,0,0,0,0
35,318,c08,Sweets and Confectionary,"Sugar, sucrose",0.5,398,0,0,0,99.5,0,0,0,0,0,0,0,0,0,0,0,0
36,319,c08,Sweets and Confectionary,"Sugar, fructose",1,396,0,0,0,98.9,0,0,0,0,0,0,0,0,0,0,0,0
37,320,c08,Sweets and Confectionary,Sweeteners,1.5,399,0,0.9,0,97.6,0,0,0,0,0,0,0,0,0,0,0,0
38,321,c08,Sweets and Confectionary,Topping ( Chocolate),42.2,4,1.9,20.7,0,515,0,180,0,0,0,0,0,0,0,0,0,0
