sourceNumber,sourceRow,categoryId,category,name,water,energy,protein,fats,fiber,carbohydrates,sodium,potassium,calcium,phosphorus,magnesium,iron,zinc,copper,vitaminA,vitaminC,vitaminB1,vitaminB2
1,146,c05,"NUTS,SEEDS AND PRODUCTS",Almonds,4.6,640,17.6,55.8,2.5,16.8,7,793,215,485,230,1.5,3.2,0.13,21,0,0.26,0.72
2,147,c05,"NUTS,SEEDS AND PRODUCTS","Coconuts,dry",3,689,6,65,4,20,23,560,20,176,44,2.9,1.5,0.4,0,0,0.07,0.04
3,148,c05,"NUTS,SEEDS AND PRODUCTS",Hazelnufs,5,633,18.6,55.7,3.7,14.4,3,600,180,300,130,3.3,2,1.1,24,0,0.45,0.25
4,149,c05,"NUTS,SEEDS AND PRODUCTS",Peanuts,4.6,585,26.4,44.9,2.9,18.8,1,670,55,380,180,2.5,2.6,0.29,84,0,0.35,0.14
5,150,c05,"NUTS,SEEDS AND PRODUCTS",Pinenuts,4.6,614,30.2,20.2,1,10.3,53,888,15,500,240,4.9,2.4,1.4,5,0,1,0.22
6,151,c05,"NUTS,SEEDS AND PRODUCTS",pistachio nuts,5.5,631,20.9,54.1,1.8,15.1,15,850,122,503,150,6.9,1.9,1.2,54,0,0.73,0.19
7,152,c05,"NUTS,SEEDS AND PRODUCTS",puinpkin seeds/salted,4.3,591,23.9,48,4.5,15.8,695,790,55,1027,0,9.5,5.5,0,21,0,0.3,0.39
8,153,c05,"NUTS,SEEDS AND PRODUCTS",sesame seeds,4.6,600,19,51.8,5.5,14.5,65,506,887,515,174,10.2,8.6,1.23,9,0,1.1,0.32
9,154,c05,"NUTS,SEEDS AND PRODUCTS",sesame butter (Tehina),3,660,20,60,4,10,84,205,340,665,44,6.1,5.5,0.8,11,0,0.94,0.26
10,155,c05,"NUTS,SEEDS AND PRODUCTS",Walnuts,3.4,695,14.7,64.9,2.2,13,5,600,75,390,120,2,2.8,0.3,7,5,0.35,0.12
11,156,c05,"NUTS,SEEDS AND PRODUCTS",Watermelon seeds/salted,5.5,592,34.7,48,3,5.3,505,0,45,896,0,8,0.3,0,0,0,0.22,0.16
1,159,c06,VEGETABLES,Artichokes,85.8,45,3.5,0.2,2,7.4,32,350,55,96,30,0.9,0.5,0.03,15,11,0.07,0.06
2,160,c06,VEGETABLES,Artichokes/salad,79.7,89,2.7,4.7,1.4,9,314,380,35,90,0,0.86,0.41,0,0,0,0,0
3,161,c06,VEGETABLES,"Beaus,broad (green)",77.3,79,5.7,0.4,2.4,13.2,6,250,31,110,30,1.1,0.8,0.3,34,27,0.22,0.15
4,162,c06,VEGETABLES,"Beans,green",91,30,1.8,0.2,1.1,5.2,8,274,35,45,12,1.75,0.51,0.24,57,18,0.09,0.12
5,163,c06,VEGETABLES,"Beans,green,cooked",86.2,61,1.9,3.2,1.1,6.2,390,346,34,33,0,1.4,0.39,0,0,0,0,0
6,164,c06,VEGETABLES,Beetroots,86.8,45,1.5,0.1,1.1,9.5,70,320,22,35,25,0.9,0.63,0.07,5,8,0.02,0.05
7,165,c06,VEGETABLES,Broccoli,88.2,38,3.5,0.3,1.5,5.4,35,368,57,80,20,1.23,0.84,0.09,150,95,0.1,0.24
8,166,c06,VEGETABLES,Brussels sprouts,85.6,50,4.6,0.4,1.3,6.9,12,440,43,85,20,0.95,0.79,0.2,75,65,0.11,0.19
9,167,c06,VEGETABLES,"Cabbage,red",90.2,31,1.6,0.3,1.5,5.4,31,298,55,0,3,0.74,0.36,0.05,8,54,0,0
10,168,c06,VEGETABLES,"Cabbage,white",91.6,27,1.3,0.2,1.2,5,35,250,40,32,15,0.58,0.3,0.04,5,35,0.07,0.06
11,169,c06,VEGETABLES,"Cabbage,rice stuff",71,127,3.5,4,1.2,19.2,325,250,42,0,0,0.5,0.5,0,0,0,0,0
12,170,c06,VEGETABLES,"Cabbage,rice/meat stuff",70,140,5,6.2,1.2,16.1,318,219,48,62,0,0.8,0.65,0,0,0,0,0
13,171,c06,VEGETABLES,Carrots,89.4,36,1.2,0.2,1,7.4,62,300,40,42,18,0.58,0.42,0.06,1871,8,0.06,0.04
14,172,c06,VEGETABLES,Cauliflower,91.5,28,2.3,0.3,1,4.1,15,304,30,56,20,0.5,0.3,0.19,4,58,0.05,0.06
15,173,c06,VEGETABLES,"Cauliflower,cooked",89,49,2,2.1,0.8,5.4,420,269,27,0,0,0.5,0.4,0,0,0,0,0
16,174,c06,VEGETABLES,"Cauliflower/meat,cooked",87,62,3.7,3.1,0.7,4.9,405,313,32,0,0,0.77,0.5,0,0,0,0,0
17,175,c06,VEGETABLES,Celery,85.2,52,0.5,0.2,0.7,11.7,74,315,40,48,25,0.95,0.21,0.02,15,7,0.04,0.05
18,176,c06,VEGETABLES,Chard swiss,91.2,27,2.3,0.4,0.9,3.5,164,505,85,32,57,9.05,2,0.18,666,18,0.05,0.14
19,177,c06,VEGETABLES,Chickpeas greep,64,139,4.7,4.3,1.7,27,0,0,75,0,0,2.5,0,0,0,40,0.08,0
20,178,c06,VEGETABLES,Chicory,91.7,27,1.8,0.4,0.9,4,0,0,140,0,0,2.8,0,0,0,35,0,0
21,179,c06,VEGETABLES,Coriander,88.5,34,3.7,0.6,1.7,4.5,54,366,182,64,9,3.3,3.2,0.07,470,75,0.13,0.31
22,180,c06,VEGETABLES,Cowpeas,83.4,50,3.5,0.3,1.6,8.4,5,298,52,86,28,1.4,0.7,0.25,45,25,1.05,0.21
23,181,c06,VEGETABLES,Cucumber,95,16,0.7,0.1,0.6,4.1,5,120,18,31,8,0.6,0.08,0.07,4,9,0.04,0.05
24,182,c06,VEGETABLES,"Cucumber,pickled",90,22,1.3,0,0.4,4.5,891,185,21,0,0,0.8,0.21,0,0,0,0,0
