sourceNumber,sourceRow,categoryId,category,name,water,energy,protein,fats,fiber,carbohydrates,sodium,potassium,calcium,phosphorus,magnesium,iron,zinc,copper,vitaminA,vitaminC,vitaminB1,vitaminB2
9,484,c14,Condiments,"Pepper, red",11.8,291,15.6,7.7,18.1,39.8,215,1150,140,230,145,8.7,3.4,0.5,0,0,0.2,0.81
10,485,c14,Condiments,Thyme,11.6,287,12.2,2.9,11.8,53.1,75,1000,210,180,295,41,5.8,0.7,0,0,1.8,0.9
1,488,c15,Miscellaneous,Backing Powder,2.1,144,0.9,0,0,35,10953,170,0,5404,0,0,0,0,0,0,0,0
2,489,c15,Miscellaneous,Chicken Stock,2,305,7.5,25,0,12.5,6073,1113,3237,0,0,4.2,1.56,0,0,0,0,0
3,490,c15,Miscellaneous,Coca Powder,4.5,438,17,18.9,4.6,50,953,1420,130,650,0,6.98,6.6,0,0,0,0,0
4,491,c15,Miscellaneous,Dom Powder,4.9,312,3.6,1.4,12.5,71.3,119,0,0,0,0,0,0,0,0,0,0,0
5,492,c15,Miscellaneous,Gelatin,12.4,345,86,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,493,c15,Miscellaneous,Kishk,3.4,380,21.6,7.2,4.5,57.2,0,0,0,0,0,0.5,0,0,0,0,0,0
7,494,c15,Miscellaneous,Mayonnaise,14.7,722,1.3,77.4,0,5.1,650,45,20,52,0,0,0.4,0,80,0,0.05,0.1
8,495,c15,Miscellaneous,Oil ( Vegtables),1,899,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,496,c15,Miscellaneous,Salad dressing,41,370,2.9,29.1,0,24.2,520,18,27,0,10,0.25,0,0,0,0,0,0
10,497,c15,Miscellaneous,Salt table cooking,5,0,0,0,0,0,38900,0,29,0,0,0,0,0,0,0,0,0
11,498,c15,Miscellaneous,Salt soidium reduced,5,0,0,0,0,0,18000,25500,0,0,0,0,0,0,0,0,0,0
12,499,c15,Miscellaneous,tamarind,22.5,292,3.1,0.4,3,68.9,0,0,5,0,0,1,0,0,0,6,0.4,0.16
13,500,c15,Miscellaneous,"Yeast, compressed",72,105,13,0.5,0,12.1,15,624,0,387,50,4.8,2.7,1.7,0,4,0.8,1.7
14,501,c15,Miscellaneous,"Yeast , dried",4.5,357,37,1.5,0,48.8,85,1709,65,1595,200,16.8,8.2,3.2,0,0,2.51,5.94
