sourceNumber,sourceRow,categoryId,category,name,water,energy,protein,fats,fiber,carbohydrates,sodium,potassium,calcium,phosphorus,magnesium,iron,zinc,copper,vitaminA,vitaminC,vitaminB1,vitaminB2
1,451,c13,Drinks,"Beer, nonalcholic",95.8,16,0.2,0,0,3.8,8,25,2,19,0,0.03,0,0,0,0,0,0
2,452,c13,Drinks,"Carbonated, barley, drinks",89.4,42,0,0,0,10.5,2,25,12,10,0,0.03,0,0,0,0,0,0
3,453,c13,Drinks,"Carbonated, soft drinks",89.2,42,0,0,0,10.6,7,2,3,15,0,0,0,0,0,0,0,0
4,454,c13,Drinks,"Carbonated, soft drinks diet",99.7,1,0,0,0,0.2,4,3,0,0,0,0,0,0,0,0,0,0
5,455,c13,Drinks,"Carbonated, tonic water",89.7,40,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0
6,456,c13,Drinks,"Drink, chocolate instant",2,412,6.2,6,0.9,83.4,280,408,29,0,0,2.4,1.8,1.1,0,0,0.06,0.04
7,457,c13,Drinks,"Drink, Coffe instant Powder",2.5,360,20.5,0.5,0,68.3,110,1205,0,0,0,3.29,0.5,0.05,0,0,0,0
8,458,c13,Drinks,"Drink, Fruit instant Powder",0.3,392,1.1,0,0,96.9,183,0,0,0,0,0,0,0,0,100,0,0
9,459,c13,Drinks,"Drink, tea instant Powder",0.5,396,1,0,0,97.9,44,0,0,0,0,0,0,0,0,0,0,0
10,460,c13,Drinks,"Juice , Apple",87.7,48,0.1,0,0,12,3,105,8,10,6,0.4,0.03,0.4,16,4,0.02,0.03
11,461,c13,Drinks,"Juice, Apple sweetened",85.8,56,0,0,0,14,5,100,7,10,6,0.3,0.03,0.4,0,2,0.02,0.02
12,462,c13,Drinks,"Juice, grapes sweetened",83,66,0.3,0,0,16.2,5,130,15,14,9,0.4,0.03,0.03,5,3,0.03,0.03
13,463,c13,Drinks,"Juice, grapefruit",89.9,39,0.5,0,0.1,9.2,3,155,7,16,13,0.3,0.4,0.02,0,30,0.04,0.03
14,464,c13,Drinks,"Juice, Orange.",88.4,46,0.6,0.2,0.1,10.4,4,220,10,19,10,0.4,0.3,0.04,3,35,0.08,0.04
15,465,c13,Drinks,"Juice, Orange Sweetened",85.7,56,0.1,0,0,14,3,170,10,45,11,0.3,0.4,0.05,0,20,0.08,0.04
16,466,c13,Drinks,"Juice, Peach",87.3,47,0.5,0.2,0.5,10.9,3,200,7,20,8,0.4,0.01,0.02,18,5,0.02,0.3
17,467,c13,Drinks,"Juice, Pomegrante",84.2,62,1,0,0,14.4,5,280,5,30,8,0.26,0.14,0.2,0,8,0.04,0.02
18,468,c13,Drinks,"Juice, Sugarcane",88.5,45,0,0,0,11.3,0,0,0,0,0,0.15,0,0,0,2,0,0
19,469,c13,Drinks,"Juice, tomato",93,24,0.2,0,0.1,5.8,250,203,9,20,13,0.5,0.2,0,42,30,0.04,0.01
20,470,c13,Drinks,"Nectar, apricot",84.8,59,0.5,0.1,0.2,14,4,105,12,18,10,0.4,0.05,0.05,257,5,0.04,0.03
21,471,c13,Drinks,"Nectar, Fruit Cocktail",84.4,61,0.1,0.1,0,15,8,180,12,15,4,0.039,0.06,0.1,94,12,0.06,0.02
22,472,c13,Drinks,"Nectar, Guava",84.5,60,0.1,0,0.1,14.9,7,75,8,13,5,0.3,0.07,0.04,0,60,0,0
23,473,c13,Drinks,"Nectar, Mango",84.1,62,0.2,0.1,0.1,15.1,9,83,5,3,1,0.21,0.04,0.06,89,15,0.01,0.01
1,476,c14,Condiments,Cardamom,12.6,288,12,4.3,14.3,50.4,3,30,124,97,54,6,3.8,1.4,0,0,2.5,1.13
2,477,c14,Condiments,Cinnamon,7.8,263,4,2,24.1,57.3,15,380,500,42,50,14.2,2.4,0.3,0,0,0.08,0.35
3,478,c14,Condiments,Clove,8,348,6.5,8.3,8.5,61.7,300,1200,690,80,250,5.4,3.5,0.4,0,0,0.14,0.26
4,479,c14,Condiments,Coriander,10.6,284,13.6,15.7,33.5,22,35,1020,380,408,85,18.2,8.7,1.2,0,0,0.18,0.27
5,480,c14,Condiments,Cumin,20.4,327,18,13.3,7,33.8,145,2150,1025,480,410,37,5,1.1,0,0,0,0
6,481,c14,Condiments,Ginger,9.7,338,9,3.4,3,67.9,30,1200,120,240,165,10.7,5.1,0.4,0,0,0.11,0.2
7,482,c14,Condiments,Nutmeg,9.8,511,7.5,34.7,3,42.2,17,400,210,185,172,2.1,1.7,1.1,0,0,0,0
8,483,c14,Condiments,"Pepper, black",10.5,343,14.7,4.6,5.1,60.6,20,1400,360,185,155,12.5,1.4,1.2,0,0,0.05,0.02
