sourceNumber,sourceRow,categoryId,category,name,water,energy,protein,fats,fiber,carbohydrates,sodium,potassium,calcium,phosphorus,magnesium,iron,zinc,copper,vitaminA,vitaminC,vitaminB1,vitaminB2
1,4,c01,Cereals And Cereal-Based Food,"Barley,grains",88,335,10.7,1.5,6.5,69.6,55,299,104,184,26,4.63,2.25,0.41,0,0,0.3,0.11
2,5,c01,Cereals And Cereal-Based Food,"Corn,grains (White)",10.7,364,10.2,4,1.9,71.9,8,125,27,254,25,2.42,1.7,0.21,0,0,0.37,0.12
3,6,c01,Cereals And Cereal-Based Food,"Corn,grains (Yellow)",10.1,368,12.7,5.5,2.9,67,10,161,26,239,30,2.6,1.5,0.19,120,0,0.39,0.1
4,7,c01,Cereals And Cereal-Based Food,"Corn,flakes",5,373,6.2,2.1,2,82.3,464,139,15,44,11,1.4,1,0.23,0,0,0.5,0
5,8,c01,Cereals And Cereal-Based Food,"Corn,flour",11.1,359,8.9,2.5,1,75.2,6,95,22,183,20,2.3,1.05,0.19,0,0,0,0
6,9,c01,Cereals And Cereal-Based Food,"Corn,Kernels,canned",74.5,100,2.8,0.9,0.8,20.1,301,82,5,65,0,0.65,0.5,0.05,25,7,0.03,0
7,10,c01,Cereals And Cereal-Based Food,"Corn,Kernels,on cob,grilled",56.9,161,4,1,3,34.1,4,69,7,0,0,1.02,0.14,0,8,0,0,0
8,11,c01,Cereals And Cereal-Based Food,"Corn,popped",1.8,451,9.1,16.7,2.5,66,706,158,20,293,0,1.8,1.5,0,0,0,0,0
9,12,c01,Cereals And Cereal-Based Food,"Corn,puffed",2.7,503,7.8,25.7,1.5,60.1,687,190,32,231,0,2,1.3,0,30,0,0,0
10,13,c01,Cereals And Cereal-Based Food,"Corn,Starch",5,380,0.2,0.1,0,94.5,5,7,0,30,0,0,0,0,0,0,0,0
11,14,c01,Cereals And Cereal-Based Food,Macaroni,9.9,361,12,1.1,0.4,75.8,10,176,35,128,22,1.4,1.65,0.16,0,0,0.17,0
12,15,c01,Cereals And Cereal-Based Food,"Macaroni/Tomato,cooked",59.3,169,5,3,0.7,30.5,288,95,15,66,0,0.7,0.56,0,0,0,0,0
13,16,c01,Cereals And Cereal-Based Food,"Macaroni/Tomato/meat,cooked",61,175,6.8,5.6,0.6,24.4,342,184,30,130,0,1.1,1.05,0,0,0,0,0
14,17,c01,Cereals And Cereal-Based Food,"Noodles,fried",52.5,218,5.1,6,0.3,36,250,88,18,42,0,0.6,0.7,0,0,0,0,0
15,18,c01,Cereals And Cereal-Based Food,"Rice,grains (Long)",11.2,357,8.7,0.8,0.3,78.7,13,108,22,108,15,0.77,1.3,0.23,0,0,0.09,0.04
16,19,c01,Cereals And Cereal-Based Food,"Rice,grains (short)",12.5,351,7.3,0.7,0.3,78.8,11,93,30,98,23,0.59,1.05,0.31,0,0,0.1,0.03
17,20,c01,Cereals And Cereal-Based Food,"Rice,flour",11.6,354,7.3,0.5,0.3,80,13,80,18,106,10,0.8,0.76,0.2,0,0,0,0
18,21,c01,Cereals And Cereal-Based Food,"Rice,fried",49.8,214,3.6,3.9,0.3,41.1,278,67,7,43,0,0.25,0.43,0,0,0,0,0
19,22,c01,Cereals And Cereal-Based Food,"Rice,fried with noodles",49.4,219,3.5,4.5,0.3,41.1,299,75,18,52,0,0.7,0.45,0,0,0,0,0
20,23,c01,Cereals And Cereal-Based Food,"Rice,fried with onions",53.7,203,3.1,4.6,0.6,37.2,283,42,15,62,0,1,0.8,0,0,0,0,0
21,24,c01,Cereals And Cereal-Based Food,"Rice,fortified-baby food",4,420,16.2,10,0.5,66.4,170,780,555,460,13,7,2.2,0,375,40,0.6,0.4
22,25,c01,Cereals And Cereal-Based Food,Rice (Koshari),61,172,6.5,5.2,1.1,24.7,324,228,10,32,0,1.4,1.3,0.2,0,0,0,0
23,26,c01,Cereals And Cereal-Based Food,Rice (Koshari) market,63,157,4.5,3.7,0.9,26.3,401,185,8,27,0,0.82,1.11,0.12,0,0,0,0
24,27,c01,Cereals And Cereal-Based Food,"Rice, pudding with milk",70,129,3.3,2.6,0.5,23.1,25,125,58,0,0,0.05,0,0,0,0,0,0
25,28,c01,Cereals And Cereal-Based Food,"Rice, puffed/crisp",5,379,9,0.7,0.3,84.2,115,141,14,105,13,1.01,0.98,0.23,0,0,0,0
26,29,c01,Cereals And Cereal-Based Food,Semolina,11,360,12,1.8,0.4,74,5,208,26,114,10,2.02,1.9,0.015,0,0,0.2,0.1
27,30,c01,Cereals And Cereal-Based Food,"Sorghum,grains",8.9,366,10.9,3.6,2.2,72.6,10,131,40,250,23,4.4,3.06,0.41,0,0,0.21,0.1
28,31,c01,Cereals And Cereal-Based Food,"Wheat,bran",10.2,313,14.4,3.9,10,55,60,1251,91,997,0,10.5,8,0.95,0,0,0.75,0.3
29,32,c01,Cereals And Cereal-Based Food,"Wheat,grains",12.1,344,12,1.6,2.4,70.3,10,315,35,412,88,3.1,2.9,0.33,0,0,0.61,0.12
30,33,c01,Cereals And Cereal-Based Food,"Wheat,grains (Belila,canned)",75.9,95,2.4,0.6,0.6,20,72,79,15,0,12,0.87,0.48,0.05,0,0,0,0
31,34,c01,Cereals And Cereal-Based Food,"Wheat,flour (brown)",12.1,350,11.8,1.3,1.1,72.7,8,265,28,118,27,2.6,1.82,0.3,0,0,0.5,0.11
32,35,c01,Cereals And Cereal-Based Food,"Wheat,flour (White)",11.8,354,10,1,0.4,76.3,6,120,18,92,22,0.85,1.5,0.13,0,0,0.11,0.05
33,36,c01,Cereals And Cereal-Based Food,"Wheat,fortified-baby food",3.5,413,17,10,2.2,63.8,135,850,550,460,0,8.25,2.5,0,375,40,0.5,0.5
34,37,c01,Cereals And Cereal-Based Food,"Wheat,Koskos plain",47,213,5.8,0.7,0.3,45.8,4,62,17,0,0,0.41,0.6,0.05,0,0,0,0
35,38,c01,Cereals And Cereal-Based Food,"Wheat,Koskos sweet",40.6,283,5.8,9.8,0.5,42.9,7,65,15,92,0,0.4,0.58,0.06,0,0,0,0
36,39,c01,Cereals And Cereal-Based Food,"Wheat,parboiled (Burghul)",11.8,352,12.5,1.8,1,71.4,37,350,43,405,66,3.2,4.2,0.31,0,0,0.35,0.14
37,40,c01,Cereals And Cereal-Based Food,"Wheat,rubbed (Fereek)",10.8,351,11.6,1.7,2.1,72.4,22,300,41,320,56,3,3.5,0.3,0,0,0.57,0.12
